Fecha;Item;Cajas
2021-06-28;CHIPS;1
2021-06-28;WAFFER;1
2021-06-10;CHIPS;1
2021-06-29;OREO;1
2021-06-29;WAFFER;1
2021-06-29;SNACKS;1
2021-06-29;CHIPS;0.83
2021-06-29;OREO;1
2021-06-29;WAFFER;1
2021-06-29;SNACKS;1
2021-06-29;CHIPS;0.58
2021-06-10;OREO;1
2021-06-10;SNACKS;2
2021-06-10;CHIPS;2
2021-06-04;WAFFER;1
2021-06-28;WAFFER;1
2021-06-28;CHIPS;1
2021-06-28;OREO;2
2021-06-28;SNACKS;2
2021-06-08;OREO;1
2021-06-23;OREO;0.25
2021-06-23;WAFFER;0.5
2021-06-23;SNACKS;0.5
2021-06-15;OREO;1
2021-06-14;WAFFER;1
2021-06-14;CHIPS;1
2021-06-09;CHIPS;1
2021-06-09;SNACKS;0.33
2021-06-21;OREO;2
2021-06-21;WAFFER;2
2021-06-21;SNACKS;2
2021-06-02;WAFFER;1
2021-06-02;CHIPS;1
2021-06-04;OREO;1
2021-06-01;OREO;2
2021-06-09;OREO;4
2021-06-09;CHIPS;4
2021-06-09;SNACKS;4
2021-06-29;CHIPS;1
2021-06-09;OREO;2
2021-06-09;SNACKS;1
2021-06-09;CHIPS;1
2021-06-14;OREO;0.5
2021-06-14;CHIPS;1
2021-06-07;CHIPS;0.17
2021-06-07;WAFFER;0.42
2021-06-23;OREO;0.25
2021-06-23;WAFFER;0.08
2021-06-29;OREO;1
2021-06-29;CHIPS;1
2021-06-04;SNACKS;0.5
2021-06-10;OREO;1
2021-06-10;WAFFER;1
2021-06-10;CHIPS;1
2021-06-10;SNACKS;1
2021-06-28;OREO;1
2021-06-28;SNACKS;1
2021-06-09;OREO;0.5
2021-06-09;SNACKS;1
2021-06-23;OREO;1
2021-06-23;WAFFER;1
2021-06-23;CHIPS;1
2021-06-23;SNACKS;1
2021-06-28;OREO;1
2021-06-29;SNACKS;0.5
2021-06-29;CHIPS;0.5
2021-06-02;SNACKS;1
2021-06-02;CHIPS;1
2021-06-17;OREO;1
2021-06-11;OREO;0.5
2021-06-09;CHIPS;1
2021-06-09;SNACKS;1
2021-06-17;OREO;5
2021-06-04;CHIPS;1
2021-06-04;OREO;1
2021-06-04;WAFFER;1
2021-06-03;SNACKS;6
2021-06-03;CHIPS;6
2021-06-09;OREO;1
2021-06-10;WAFFER;0.5
2021-06-10;CHIPS;0.5
2021-06-10;SNACKS;0.5
2021-06-29;WAFFER;0.67
2021-06-29;CHIPS;0.67
2021-06-29;SNACKS;0.5
2021-06-11;CHIPS;1
2021-06-11;SNACKS;1
2021-06-11;OREO;0.5
2021-06-29;OREO;1
2021-06-29;WAFFER;1
2021-06-29;SNACKS;1
2021-07-06;OREO;1
2021-07-06;CHIPS;1
2021-07-06;SNACKS;1
2021-07-06;WAFFER;1
2021-07-07;CHIPS;1
2021-07-07;OREO;1
2021-07-07;OREO;0.25
2021-07-07;CHIPS;0.33
2021-07-07;SNACKS;0.33
2021-07-07;CHIPS;1
2021-07-07;WAFFER;1
2021-07-07;OREO;1
2021-07-07;SNACKS;1
2021-07-08;WAFFER;1
2021-07-08;OREO;4
2021-07-08;WAFFER;5
2021-07-08;CHIPS;5
2021-07-08;SNACKS;5
2021-07-08;OREO;1
2021-07-08;CHIPS;1
2021-07-08;WAFFER;1
2021-07-08;SNACKS;1
2021-07-08;SNACKS;0.5
2021-07-08;WAFFER;5
2021-07-08;CHIPS;5
2021-07-08;SNACKS;5
2021-07-08;OREO;3
2021-07-08;OREO;1
2021-07-08;SNACKS;1
2021-07-08;SNACKS;0.5
2021-07-08;OREO;1
2021-07-09;OREO;0.5
2021-07-09;CHIPS;1
2021-07-09;OREO;0.25
2021-07-09;CHIPS;0.42
2021-07-09;SNACKS;0.33
2021-07-09;SNACKS;1
2021-07-09;CHIPS;1
2021-07-09;OREO;1
2021-07-09;OREO;1
2021-07-09;CHIPS;1
2021-07-09;CHIPS;1
